Column,scientificName,decimalLatitude,decimalLongitude
135,Aetobatus narinari,24.673274,-81.279193
136,Aetobatus narinari,19.360476,-69.161914
137,Forcipiger flavissimus,-17.47462,-149.75197
138,Forcipiger flavissimus,-17.47613,-149.84601
139,Forcipiger flavissimus,-17.47761,-149.94006
140,Amphiprion ocellaris,1.221763,103.846935
141,Amphiprion ocellaris,1.221763,103.846935
142,Forcipiger flavissimus,-8.727807,115.544423
143,Amphiprion ocellaris,-8.727807,115.544423
144,Amphiprion ocellaris,-0.415251,130.671939
145,Hippocampus kuda,-0.438622,130.731824
146,Amphiprion ocellaris,11.335846,124.115636
147,Aetobatus narinari,18.299509,-64.88693
148,Aetobatus narinari,8.696676,-83.372022
149,Aetobatus narinari,25.795002,-80.157287
150,Forcipiger flavissimus,-9.039667,159.24605
151,Forcipiger flavissimus,-17.73424,177.125541
152,Hippocampus kuda,-4.650857,39.38515
153,Hippocampus kuda,-4.658036,39.379643
154,Amphiprion ocellaris,7.636568,98.843435
155,Amphiprion ocellaris,7.63168,98.767301
156,Amphiprion ocellaris,7.658053,98.7673
157,Forcipiger flavissimus,20.607648,-156.577038
158,Forcipiger flavissimus,20.607648,-156.577038
159,Forcipiger flavissimus,20.543843,-156.693574
160,Forcipiger flavissimus,20.558879,-156.66655
161,Forcipiger flavissimus,20.543843,-156.693574
162,Forcipiger flavissimus,20.733798,-156.937373
163,Forcipiger flavissimus,20.733298,-156.930106
164,Forcipiger flavissimus,20.737005,-156.919045
165,Forcipiger flavissimus,20.716509,-156.459365
166,Forcipiger flavissimus,20.716509,-156.459365
167,Forcipiger flavissimus,20.666778,-156.445006
168,Forcipiger flavissimus,20.803854,-156.622078
169,Forcipiger flavissimus,21.008846,-156.662327
170,Forcipiger flavissimus,20.971675,-156.687438
171,Forcipiger flavissimus,20.952063,-156.69434
172,Forcipiger flavissimus,20.824815,-156.074853
173,Forcipiger flavissimus,20.81808,-156.062315
174,Forcipiger flavissimus,20.914341,-156.224995
175,Forcipiger flavissimus,20.786803,-156.564417
176,Forcipiger flavissimus,21.170015,-156.912978
177,Forcipiger flavissimus,21.161695,-156.723268
178,Forcipiger flavissimus,21.161218,-156.706346
179,Forcipiger flavissimus,21.161218,-156.706346
180,Forcipiger flavissimus,21.161807,-156.712009
181,Aetobatus narinari,-0.504617,-90.135717
182,Paracanthurus hepatus,-8.727807,115.544423
183,Forcipiger flavissimus,19.479546,-155.933445
