taxon,common name,scientific name,photograph,DO count,EAC count,FG count,GBR count,T count,SH count,SL count,SPO count,screenshot
bony fish,Regal Blue Tang,Paracanthurus hepatus,yes,1,,,1,1,1,1,,SS_00-20-52_SL.PNG/SS_00-34-13_T.PNG/SS_01-17-34_SH.PNG
bony fish,Kelp Bass,Paralabrax clathratus,yes,,,,,,,,,
bony fish,Harlequin Sweetlips,Plectorhinchus chaetodonoides,yes,,,,1,,,,,SS_00-07-51_GBR.PNG
bony fish,Oriental Sweetlips,Plectorhinchus vittatus,yes,,,,,,,,,
bony fish,Tile-colored Righteye Flounder,Poecilopsetta plinthus,no,,,,1,,,,,SS_00-08-53_GBR.PNG
bony fish,Australian Sawtail,Prionurus microlepidotus,yes,,,,,,,,,
bony fish,Royal Angelfish,Pygoplites diancathus,yes,,,,1,,,,,SS_00-10-08_GBR.PNG
bony fish,Rainbow Parrotfish,Scarus guacamaia,yes,,,,1,,,,,SS_00-01-30_GBR.png/SS_00-01-31_GBR.png/SS_00-01-33_GBR.png
bony fish,Spotted Scat,Scatophagus argus,yes,,,,,,,,,
bony fish,Military Barracuda,Sphyraena putnamae,yes,,,,1,,,,,SS_00-03-13_GBR.PNG
bony fish,Swordfish,Xiphias gladius,yes,,,,,,,,1,SS_00-56-52_SPO.PNG
bony fish,Moorish Idol,Zanclus cornutus,yes,1,,,,,1,,,SS_00-29-50_DO.PNG/SS_01-33-20_SH.PNG
bony fish,Yellow Tang,Zebrasoma flavescens,yes,1,,,1,,1,,,SS_00-11-29_GBR.PNG/SS_00-26-48_DO.PNG/SS_01-33-20_SH.PNG
reptile,Green Sea Turtle,Chelonia mydas,yes,,1,,,,,,,SS_00-51-47_EAC.PNG/SS_00-52-36_EAC.PNG/SS_00-52-42_EAC.PNG/SS_00-52-50_EAC.PNG[1-unid-moonfish]/SS_00-56-33_EAC.PNG[1-unid]
bird,Kelp Gull,Larus dominicanus,yes,,,,,,1,,1,SS_00-56-58_SPO.PNG/SS_00-57-00_SPO.PNG/SS_00-57-02_SPO.PNG/SS_00-57-25_SH.PNG
bird,Brown Pelican,Pelecanus occidentalis,yes,1,,,,,1,,1,SS_00-25-26_SPO.PNG/SS_00-28-32_DO.PNG/SS_00-57-05_SPO.PNG/SS_00-57-08_SPO.PNG/SS_00-57-25_SH.PNG/SS_00-57-34_SH.PNG
mammal,Blue Whale,Balaenoptera musculus,yes,,,,,,,,,
mammal,Humpback Whale,Megaptera novaeangliae,yes,,,,,,1,,1,SS_01-06-51_SPO.PNG/SS_01-08-55_SH.PNG/SS_01-13-48_SH.PNG
mammal,Common bottlenose dolphin,Tursiops truncatus,yes,,,,,,,,1,SS_00-56-58_SPO.PNG
unidentifiable,NA,NA,no,,,,,,,,,SS_00-56-38_SPO.PNG[2-unid]/SS_01-08-36_SH.PNG[1-unid]/SS_01-08-39_SH.PNG[6-unid]/SS_01-08-44_SH.PNG[1-unid]/SS_01-08-46_SH.PNG[2-unid]/SS_01-33-36_SPO.PNG[1-unid-moonfish]/SS_01-39-37_credit.PNG[1-id-mikeWazowski]
