screenshot name,analyzed,contains unidentifiable organisms,reviewer,new-ID_species,new-unID,total-to-point (sum($E$2:etc)),unID-to-point(sum($F$2:etc))
SS_00-17-09_SPO.PNG,yes,yes,Jenna,,,74,48
SS_00-17-11_SPO.PNG,yes,yes,Jenna,,,74,48
SS_00-17-14_SPO.PNG,yes,no,Jenna,,,74,48
SS_00-17-34_SPO.PNG,yes,no,Jenna,,,74,48
SS_00-17-37_SPO.PNG,yes,no,Jenna,,,74,48
SS_00-19-00_SPO.PNG,yes,,Indigo,1,0,75,48
SS_00-20-34_SL.PNG,yes,,Indigo,2,0,77,48
SS_00-20-52_SL.PNG,yes,,Indigo,0,,77,48
SS_00-21-05_SL.PNG,yes,,Indigo,1,,78,48
SS_00-22-55_SL.PNG,yes,,Indigo,,,78,48
SS_00-25-26_SPO.PNG,yes,,Indigo,1,,79,48
SS_00-26-48_DO.PNG,yes,,Indigo,3,0,82,48
SS_00-26-55_DO.PNG,yes,,Indigo,1,,83,48
SS_00-27-18_DO.PNG,yes,,Indigo,1,,84,48
SS_00-27-51_DO.PNG,yes,,Indigo,,,84,48
SS_00-28-32_DO.PNG,yes,,Indigo,0,,84,48
SS_00-28-54_DO.PNG,yes,,Indigo,,,84,48
SS_00-29-50_DO.PNG,yes,,Indigo,1,0,85,48
SS_00-34-13_T.PNG,yes,,Indigo,1,,86,48
SS_00-40-37_SPO.PNG,yes,,Indigo,0,,86,48
SS_00-40-43_SPO.PNG,yes,,Indigo,,,86,48
SS_00-40-54_SPO.PNG,yes,,Indigo,,,86,48
SS_00-41-57_SPO.PNG,yes,,Indigo,,,86,48
SS_00-45-53_SPO.PNG,yes,,Indigo,1,,87,48
SS_00-45-55_SPO.PNG,yes,,Indigo,0,,87,48
SS_00-51-47_EAC.PNG,yes,,Indigo,1,0,88,48
SS_00-52-36_EAC.PNG,yes,,Indigo,0,,88,48
SS_00-52-42_EAC.PNG,yes,,Indigo,0,,88,48
SS_00-52-50_EAC.PNG,yes,,Indigo,0,1,89,49
SS_00-54-00_EAC.PNG,yes,,Indigo,,,89,49
SS_00-55-38_EAC.PNG,yes,,Indigo,,,89,49
SS_00-56-33_EAC.PNG,yes,,Indigo,0,1,90,50
SS_00-56-38_SPO.PNG,yes,,Indigo,0,2,92,52
SS_00-56-44_SPO.PNG,yes,,Indigo,1,0,93,52
SS_00-56-52_SPO.PNG,yes,,Indigo,1,0,94,52
SS_00-56-58_SPO.PNG,yes,,Indigo,2,0,96,52
SS_00-57-00_SPO.PNG,yes,,Indigo,0,,96,52
SS_00-57-02_SPO.PNG,yes,,Indigo,0,,96,52
SS_00-57-05_SPO.PNG,yes,,Indigo,0,,96,52
SS_00-57-08_SH.PNG,yes,,Indigo,0,,96,52
SS_00-57-25_SH.PNG,yes,,Indigo,0,,96,52
SS_00-57-27_SH.PNG,yes,,Indigo,,,96,52
SS_00-57-34_SH.PNG,yes,,Indigo,1,,97,52
SS_00-57-44_SH.PNG,yes,,Indigo,,,97,52
SS_00-59-45_DO.PNG,yes,,Indigo,,,97,52
SS_01-06-51_SPO.PNG,yes,,Indigo,2,,99,52
SS_01-08-36_SH.PNG,yes,,Indigo,0,1,100,53
SS_01-08-39_SH.PNG,yes,,Indigo,0,6,106,59
SS_01-08-44_SH.PNG,yes,,Indigo,0,1,107,60
SS_01-08-46_SH.PNG,yes,,Indigo,0,2,109,62
SS_01-08-55_SH.PNG,yes,,Indigo,0,,109,62
SS_01-13-48_SH.PNG,yes,,Indigo,0,,109,62
SS_01-16-48_SH.PNG,yes,,Indigo,,,109,62
SS_01-17-34_SH.PNG,yes,,Indigo,0,,109,62
SS_01-21-50_SH.PNG,yes,,Indigo,0,,109,62
SS_01-24-02_SH.PNG,yes,,Indigo,,,109,62
SS_01-24-18_SH.PNG,yes,,Indigo,,,109,62
SS_01-24-30_SH.PNG,yes,,Indigo,1,0,110,62
SS_01-25-16_SH.PNG,yes,,Indigo,0,,110,62
SS_01-25-19_FG.PNG,yes,,Indigo,,,110,62
SS_01-26-22_FG.PNG,yes,,Indigo,0,,110,62
SS_01-26-35_FG.PNG,yes,,Indigo,0,,110,62
SS_01-31-00_GBR.PNG,,,,,,110,62
SS_01-31-02_GBR.PNG,,,,,,110,62
SS_01-31-05_GBR.PNG,,,,,,110,62
SS_01-31-06_GBR.PNG,,,,,,110,62
SS_01-31-16_GBR.PNG,,,,,,110,62
SS_01-31-20_GBR.PNG,,,,,,110,62
SS_01-31-45_GBR.PNG,,,,,,110,62
SS_01-31-49_GBR.PNG,,,,,,110,62
SS_01-31-51_GBR.PNG,,,,,,110,62
SS_01-32-06_GBR.PNG,,,,,,110,62
SS_01-33-20_SH.PNG,yes,,Indigo,0,,110,62
SS_01-33-36_SPO.PNG,yes,,Indigo,0,1,111,63
SS_01-39-37_credit_MikeWazowski.PNG,yes,,Indigo,0,1,112,64
SS_01-40-12_credit_T.PNG,yes,,Indigo,0,,112,64
